ISI,cueSide,targetSide,validity,answer,trialType
0.05,"[5,0]","[5,0]",cued,right,regular
0.05,"[5,0]","[-5,0]",uncued,left,regular
0.05,"[-5,0]","[5,0]",uncued,right,regular
0.05,"[-5,0]","[-5,0]",cued,left,regular
0.15,"[5,0]","[5,0]",cued,right,regular
0.15,"[5,0]","[-5,0]",uncued,left,regular
0.15,"[-5,0]","[5,0]",uncued,right,regular
0.15,"[-5,0]","[-5,0]",cued,left,regular
0.35,"[5,0]","[5,0]",cued,right,regular
0.35,"[5,0]","[-5,0]",uncued,left,regular
0.35,"[-5,0]","[5,0]",uncued,right,regular
0.35,"[-5,0]","[-5,0]",cued,left,regular
0.55,"[5,0]","[5,0]",cued,right,regular
0.55,"[5,0]","[-5,0]",uncued,left,regular
0.55,"[-5,0]","[5,0]",uncued,right,regular
0.55,"[-5,0]","[-5,0]",cued,left,regular
0.75,"[5,0]","[5,0]",cued,right,regular
0.75,"[5,0]","[-5,0]",uncued,left,regular
0.75,"[-5,0]","[5,0]",uncued,right,regular
0.75,"[-5,0]","[-5,0]",cued,left,regular
0.95,"[5,0]","[5,0]",cued,right,regular
0.95,"[5,0]","[-5,0]",uncued,left,regular
0.95,"[-5,0]","[5,0]",uncued,right,regular
0.95,"[-5,0]","[-5,0]",cued,left,regular
1.15,"[5,0]","[5,0]",cued,right,regular
1.15,"[5,0]","[-5,0]",uncued,left,regular
1.15,"[-5,0]","[5,0]",uncued,right,regular
1.15,"[-5,0]","[-5,0]",cued,left,regular
1.35,"[5,0]","[5,0]",cued,right,regular
1.35,"[5,0]","[-5,0]",uncued,left,regular
1.35,"[-5,0]","[5,0]",uncued,right,regular
1.35,"[-5,0]","[-5,0]",cued,left,regular
0.05,"[5,0]","[100,0]",catch,none,catch
0.05,"[-5,0]","[100,0]",catch,none,catch
0.15,"[5,0]","[100,0]",catch,none,catch
0.15,"[-5,0]","[100,0]",catch,none,catch
0.35,"[5,0]","[100,0]",catch,none,catch
0.35,"[-5,0]","[100,0]",catch,none,catch
0.55,"[5,0]","[100,0]",catch,none,catch
0.55,"[-5,0]","[100,0]",catch,none,catch